EPOR	PTPN1
EPOR	SPI1
EPOR	IKZF1
EPOR	HBB
EPOR	ZFPM1
EPOR	HIF1A
EPOR	SYK
EPOR	IL6R
EPOR	PIK3CA
EPOR	EGFR
EPOR	SH2B3
EPOR	AKT1
EPOR	SRC
EPOR	FLT3
EPOR	PLCG2
EPOR	IL2RA
EPOR	CTF1
EPOR	IL13
EPOR	INPP5D
EPOR	IL4
EPOR	TSLP
EPOR	IL6
EPOR	IL2
EPOR	PIK3R1
EPOR	JAK3
EPOR	JAK1
EPOR	THPO
EPOR	JAK2
ITGB8	ADAMTS1
ITGB8	LIFR
ITGB8	TNR
ITGB8	PRKCA
ITGB8	VWF
ITGB8	THBS2
ITGB8	SRC
ITGB8	PTK2
SERPINE1	CREB1
SERPINE1	IL2
SERPINE1	FABP4
SERPINE1	MMP12
SERPINE1	SHBG
SERPINE1	IL13
SERPINE1	MCL1
SERPINE1	SRC
SERPINE1	IL4
SERPINE1	BCL2
SERPINE1	F5
SERPINE1	DPP4
SERPINE1	KDR
SERPINE1	F11
SERPINE1	PPARA
SERPINE1	IL1RN
SERPINE1	MMP13
SERPINE1	ESR1
SERPINE1	PROS1
SERPINE1	ANGPT1
SERPINE1	NOX4
SERPINE1	IRF1
SERPINE1	CTNNB1
SERPINE1	CREBBP
SERPINE1	SERPINE2
SERPINE1	TTR
SERPINE1	TIMP3
SERPINE1	ADAMTS13
SERPINE1	NFKB1
SERPINE1	F10
SERPINE1	ETS1
SERPINE1	THBS2
SERPINE1	FGG
SERPINE1	FGA
SERPINE1	MYC
SERPINE1	KLKB1
SERPINE1	KNG1
SERPINE1	CA9
SERPINE1	TP53
SERPINE1	APOE
SERPINE1	AKT1
SERPINE1	AXL
SERPINE1	NOS3
SERPINE1	F8
SERPINE1	HIF1A
SERPINE1	ALB
SERPINE1	ELANE
SERPINE1	HRG
SERPINE1	SLC2A1
SERPINE1	SELP
SERPINE1	MPO
SERPINE1	SELE
SERPINE1	MTHFR
SERPINE1	EGFR
SERPINE1	TFPI
SERPINE1	HABP2
SERPINE1	PPARG
SERPINE1	FGB
SERPINE1	MMP1
SERPINE1	F7
SERPINE1	MMP7
SERPINE1	CRP
SERPINE1	MMP9
SERPINE1	SMAD7
