gene,max_assoc_score,top_disease
TDG,0.23625,venous thromboembolism
GLT8D2,0.23625,venous thromboembolism
ADCY1,0.23517,thrombophilia
SNX13,0.23508,venous thromboembolism
ZFP36L1,0.2349,venous thromboembolism
RORC,0.23455,deep vein thrombosis
DARS2,0.23389,deep vein thrombosis
GPATCH1,0.23389,thrombophilia
ENPP1,0.23341,venous thromboembolism
DIP2B,0.23238,venous thromboembolism
ARL13B,0.22923,pulmonary embolism
SMAD4,0.22776,deep vein thrombosis
TRIM49B,0.22746,venous thromboembolism
EMSY,0.22717,deep vein thrombosis
LAYN,0.22675,deep vein thrombosis
CHD9,0.22523,venous thromboembolism
RFX2,0.22514,venous thromboembolism
CD93,0.22498,venous thromboembolism
NTMT2,0.22358,thrombophilia
TYRP1,0.22308,venous thromboembolism
FADS1,0.22129,pulmonary embolism
LEMD3,0.22103,venous thromboembolism
NOS3,0.22077,deep vein thrombosis
P2RX3,0.22057,deep vein thrombosis
GTF3C4,0.22029,venous thromboembolism
MCF2L,0.21975,deep vein thrombosis
PHC1,0.21914,venous thromboembolism
CHST11,0.21862,venous thromboembolism
ADGRL2,0.21824,deep vein thrombosis
PTPRK,0.21798,deep vein thrombosis
SYN3,0.21751,venous thromboembolism
SFRP2,0.21719,venous thromboembolism
BABAM2,0.21693,venous thromboembolism
SPPL2A,0.21615,venous thromboembolism
GATA3,0.21603,deep vein thrombosis
MLLT10,0.21575,venous thromboembolism
NLRP3,0.21574,venous thromboembolism
ADH4,0.2157,venous thromboembolism
CUX2,0.21429,venous thromboembolism
CDYL2,0.21412,thrombophilia
F2RL1,0.21335,venous thromboembolism
PLRG1,0.21181,venous thromboembolism
NR1H3,0.21096,venous thromboembolism
LRRC7,0.21015,deep vein thrombosis
LYPLAL1,0.21015,thrombophilia
TSHZ3,0.21015,thrombophilia
POM121L12,0.21015,thrombophilia
CDH4,0.21015,thrombophilia
ZNF717,0.21015,thrombophilia
CDH7,0.21015,thrombophilia
PIK3R1,0.21013,deep vein thrombosis
LDB2,0.21012,thrombophilia
ABCB5,0.21001,deep vein thrombosis
FAM13A,0.20951,thrombophilia
THBS2,0.2076,thrombophilia
SALL3,0.20759,thrombophilia
SIM1,0.20732,thrombophilia
SLC25A46,0.20678,deep vein thrombosis
DUSP22,0.20674,deep vein thrombosis
MSX1,0.20668,deep vein thrombosis
BRD3OS,0.20578,venous thromboembolism
POLE4,0.2057,venous thromboembolism
NCOA6,0.20534,deep vein thrombosis
TNR,0.20525,venous thromboembolism
FRYL,0.20474,thrombophilia
ACP5,0.2043,thrombophilia
ANK3,0.20268,deep vein thrombosis
DDB2,0.20261,venous thromboembolism
TRIM2,0.20217,thrombophilia
DLGAP1,0.20104,deep vein thrombosis
ETS1,0.20079,deep vein thrombosis
MAP1A,0.20077,venous thromboembolism
OR4C13,0.19976,venous thromboembolism
STEAP1,0.19881,thrombophilia
SFPQ,0.19807,deep vein thrombosis
RAPGEF6,0.19646,venous thromboembolism
NOD2,0.19644,deep vein thrombosis
FBH1,0.19642,deep vein thrombosis
DTWD2,0.19634,thrombophilia
RFX8,0.19625,thrombophilia
EIF2S2,0.19597,deep vein thrombosis
MAMSTR,0.19554,venous thromboembolism
TNFRSF14,0.19481,deep vein thrombosis
SLC4A1,0.19441,venous thromboembolism
HLA-DRB5,0.19425,deep vein thrombosis
HDLBP,0.19366,venous thromboembolism
ZBTB10,0.19297,deep vein thrombosis
SUFU,0.19115,deep vein thrombosis
MYRF,0.19101,venous thromboembolism
OR5AK3P,0.19096,venous thromboembolism
ALOX15,0.19078,deep vein thrombosis
DAPK1,0.19066,thrombophilia
ARL5B,0.19048,venous thromboembolism
HABP2,0.19006,thrombophilia
MITF,0.18984,thrombophilia
ROBO2,0.18977,thrombophilia
RANBP6,0.18934,deep vein thrombosis
ZNF701,0.18902,pulmonary embolism
GLB1,0.18805,deep vein thrombosis
MDFIC2,0.18678,thrombophilia
BRD3,0.18622,venous thromboembolism
MAPT,0.18596,venous thromboembolism
OR4C16,0.18562,deep vein thrombosis
DMWD,0.18489,venous thromboembolism
MT-ND1,0.18479,venous thromboembolism
MT-ND2,0.18479,venous thromboembolism
TMEM33,0.1845,thrombophilia
SHANK3,0.18388,venous thromboembolism
CD6,0.1835,deep vein thrombosis
CFDP1,0.18265,venous thromboembolism
GSDMB,0.18242,deep vein thrombosis
YPEL4,0.1824,thrombophilia
SYT13,0.18155,thrombophilia
ALDH16A1,0.18139,venous thromboembolism
MTNR1A,0.18122,venous thromboembolism
KRTAP11-1,0.18046,thrombophilia
AMZ1,0.17999,deep vein thrombosis
ZPBP,0.17964,deep vein thrombosis
TRAPPC12,0.17804,thrombophilia
DPP10,0.17762,thrombophilia
EFNA5,0.17762,thrombophilia
IPO8,0.17707,thrombophilia
GIMAP6,0.17674,venous thromboembolism
LAMP1,0.17672,thrombophilia
MIER1,0.17611,deep vein thrombosis
KBTBD4,0.17478,deep vein thrombosis
SPPL3,0.17416,deep vein thrombosis
PIGV,0.1738,venous thromboembolism
TLR3,0.17371,venous thromboembolism
NR4A2,0.17351,thrombophilia
PDSS2,0.17319,thrombophilia
ZBTB7B,0.17309,venous thromboembolism
DMPK,0.17162,venous thromboembolism
SERPINB8,0.17007,venous thromboembolism
UBE2E2,0.16923,deep vein thrombosis
CCNL1,0.16896,venous thromboembolism
WDR48,0.16849,venous thromboembolism
PIEZO1,0.1665,venous thromboembolism
IL2,0.16645,deep vein thrombosis
CEACAM16,0.16497,deep vein thrombosis
CDK6,0.16485,venous thromboembolism
SMARCE1,0.16472,deep vein thrombosis
PVR,0.16246,deep vein thrombosis
SPI1,0.1622,thrombophilia
AGBL1,0.16192,venous thromboembolism
ACP2,0.16122,venous thromboembolism
NAV1,0.1592,venous thromboembolism
PRDX1,0.15912,deep vein thrombosis
INCENP,0.1585,thrombophilia
SMG6,0.15798,venous thromboembolism
STX19,0.15756,venous thromboembolism
OVOL1,0.15745,deep vein thrombosis
NRROS,0.15222,deep vein thrombosis
CCN2,0.15177,pulmonary embolism
BCL6,0.15147,deep vein thrombosis
IL31,0.14987,deep vein thrombosis
CCDC181,0.14958,deep vein thrombosis
OR4A5,0.14931,venous thromboembolism
CELF1,0.14909,venous thromboembolism
RGSL1,0.14871,venous thromboembolism
CNBD2,0.14865,venous thromboembolism
CARMIL1,0.1486,venous thromboembolism
CTF1,0.14806,venous thromboembolism
DCST1,0.148,venous thromboembolism
KLF12,0.14718,deep vein thrombosis
RGS14,0.14706,deep vein thrombosis
CCDC66,0.14585,deep vein thrombosis
SEPTIN2,0.1458,venous thromboembolism
HPR,0.14579,venous thromboembolism
IL4,0.14559,deep vein thrombosis
