gene,max_assoc_score,top_disease
OR6S1,0.07842,pulmonary embolism
P4HB,0.07836,deep vein thrombosis
RSPH6A,0.07814,venous thromboembolism
CMA1,0.07803,deep vein thrombosis
MCMBP,0.07795,venous thromboembolism
CRNKL1,0.07778,thrombophilia
INSM1,0.07778,thrombophilia
MNMIP1,0.07778,venous thromboembolism
PTEN,0.07747,deep vein thrombosis
ANXA2,0.07743,venous thromboembolism
F2R,0.07733,venous thromboembolism
CCL2,0.07715,deep vein thrombosis
APP,0.07706,thrombophilia
COL5A1,0.07701,deep vein thrombosis
COL1A1,0.07692,deep vein thrombosis
FBLN5,0.07673,thrombophilia
S100A8,0.07639,deep vein thrombosis
FERMT3,0.07633,deep vein thrombosis
LAMB2,0.07611,deep vein thrombosis
MMP9,0.07581,deep vein thrombosis
COL4A3,0.07576,deep vein thrombosis
MPHOSPH9,0.07568,venous thromboembolism
TNF,0.0755,deep vein thrombosis
F2RL3,0.07512,thrombotic disease
CCR7,0.07508,deep vein thrombosis
NEAT1,0.07483,deep vein thrombosis
KL,0.07481,deep vein thrombosis
MMP2,0.07469,deep vein thrombosis
CRNDE,0.07466,deep vein thrombosis
IL17B,0.07466,deep vein thrombosis
COL4A1,0.07461,deep vein thrombosis
ITPKA,0.07448,deep vein thrombosis
PGR,0.07447,thrombophilia
SLC22A5,0.07429,venous thromboembolism
LAMC1,0.07429,deep vein thrombosis
FOXP3,0.07429,deep vein thrombosis
TP53INP2,0.07393,deep vein thrombosis
COL11A2,0.07392,deep vein thrombosis
COL6A3,0.07392,deep vein thrombosis
COL4A4,0.07392,deep vein thrombosis
COL18A1,0.07392,deep vein thrombosis
COL5A2,0.07392,deep vein thrombosis
COL3A1,0.07392,deep vein thrombosis
LAMA3,0.07392,deep vein thrombosis
LAMB1,0.07392,deep vein thrombosis
LAMA5,0.07392,deep vein thrombosis
LAMA1,0.07392,deep vein thrombosis
LAMA2,0.07392,deep vein thrombosis
COL24A1,0.07392,deep vein thrombosis
LAMC2,0.07392,deep vein thrombosis
COL11A1,0.07392,deep vein thrombosis
COL4A5,0.07392,deep vein thrombosis
COL27A1,0.07392,deep vein thrombosis
COL6A2,0.07392,deep vein thrombosis
COL28A1,0.07392,deep vein thrombosis
LPAR2,0.07392,deep vein thrombosis
LAMC3,0.07392,deep vein thrombosis
LAMA4,0.07392,deep vein thrombosis
COL2A1,0.07392,deep vein thrombosis
COL4A2,0.07392,deep vein thrombosis
COL5A3,0.07392,deep vein thrombosis
COL6A5,0.07392,deep vein thrombosis
COL1A2,0.07392,deep vein thrombosis
COL4A6,0.07392,deep vein thrombosis
COL6A1,0.07392,deep vein thrombosis
LAMB3,0.07392,deep vein thrombosis
COL6A6,0.07392,deep vein thrombosis
LAMB4,0.07392,deep vein thrombosis
AR,0.07392,thrombophilia
POLE2,0.07392,venous thromboembolism
POLD1,0.07392,venous thromboembolism
POLA2,0.07392,venous thromboembolism
POLD3,0.07392,venous thromboembolism
POLE3,0.07392,venous thromboembolism
POLD4,0.07392,venous thromboembolism
POLE,0.07392,venous thromboembolism
RRM2,0.07392,venous thromboembolism
PRIM2,0.07392,venous thromboembolism
POLD2,0.07392,venous thromboembolism
RRM1,0.07392,venous thromboembolism
POLA1,0.07392,venous thromboembolism
RRM2B,0.07392,venous thromboembolism
PRIM1,0.07392,venous thromboembolism
GUSBP5,0.07371,deep vein thrombosis
IL36G,0.07338,deep vein thrombosis
CASP1,0.07334,deep vein thrombosis
SYMPK,0.07329,venous thromboembolism
PVT1,0.07318,deep vein thrombosis
TGFB3,0.07307,thrombophilia
OR4A16,0.07273,venous thromboembolism
APOH,0.0726,deep vein thrombosis
AKR1A1,0.07208,deep vein thrombosis
CYP27C1,0.07208,venous thromboembolism
GSTM1,0.07201,thrombophilia
CNRIP1,0.07195,venous thromboembolism
DYNLRB1,0.07137,pulmonary embolism
THRAP3,0.07124,venous thromboembolism
LRRC32,0.07119,deep vein thrombosis
OR4A15,0.07118,venous thromboembolism
KANSL1,0.07118,venous thromboembolism
NR0B2,0.071,venous thromboembolism
TET2,0.07083,deep vein thrombosis
BCL7C,0.07043,deep vein thrombosis
TLR2,0.07033,deep vein thrombosis
PRDX6,0.07004,thrombophilia
GJA1,0.0699,thrombophilia
SULT1A1,0.06989,deep vein thrombosis
APOBR,0.06985,deep vein thrombosis
MALAT1,0.06959,deep vein thrombosis
IL18,0.06827,deep vein thrombosis
DCHS2,0.06825,venous thromboembolism
PSIP1,0.06819,deep vein thrombosis
RENBP,0.06768,deep vein thrombosis
TOMM20L,0.06761,venous thromboembolism
LYRM7,0.06751,venous thromboembolism
TRIM51G,0.06749,venous thromboembolism
C3,0.06735,thrombophilia
PPCDC,0.06726,deep vein thrombosis
ARFGAP2,0.06725,venous thromboembolism
TEF,0.06719,deep vein thrombosis
FOXF1,0.06698,thrombophilia
IFNA1,0.06652,thrombotic disease
PCYOX1L,0.06648,deep vein thrombosis
PDGFRB,0.06621,thrombophilia
SPTA1,0.06569,thrombophilia
DHX38,0.06545,venous thromboembolism
MAN1A2,0.06543,thrombophilia
F3,0.0654,thrombophilia
MMP1,0.06538,deep vein thrombosis
PTGER3,0.0651,thrombophilia
MFAP2,0.0651,thrombophilia
AKT1,0.06489,deep vein thrombosis
GIT1,0.06473,venous thromboembolism
ACO2,0.06466,deep vein thrombosis
ZZZ3,0.06432,venous thromboembolism
DDX31,0.06399,venous thromboembolism
CXCR5,0.06395,deep vein thrombosis
IL1B,0.06371,deep vein thrombosis
RASIP1,0.06363,venous thromboembolism
GPR4,0.06349,thrombophilia
HSPA5,0.06347,thrombophilia
HSD17B4,0.0633,deep vein thrombosis
SHBG,0.06322,deep vein thrombosis
TGIF1,0.06321,deep vein thrombosis
BLZF1,0.06298,deep vein thrombosis
IL36RN,0.06283,venous thromboembolism
NKX2-1,0.06274,thrombophilia
MPO,0.06266,deep vein thrombosis
PF4,0.06243,thrombophilia
LOX,0.06242,thrombophilia
LPCAT1,0.06237,thrombophilia
TM9SF2,0.06215,deep vein thrombosis
LCT,0.06196,deep vein thrombosis
ANK1,0.06194,thrombophilia
TUBGCP4,0.06186,venous thromboembolism
ZNF365,0.06174,deep vein thrombosis
BEND3,0.06167,thrombophilia
WDFY1,0.06165,venous thromboembolism
RBKS,0.06152,venous thromboembolism
PHETA1,0.06143,venous thromboembolism
HLA-DRB1,0.06135,deep vein thrombosis
SLC35D1,0.06124,deep vein thrombosis
LRRC46,0.06119,pulmonary embolism
HEXIM2,0.06104,deep vein thrombosis
ARPIN,0.06098,thrombophilia
ARPIN-AP3S2,0.06098,thrombophilia
TGFBR2,0.06076,thrombophilia
FAM76B,0.06076,deep vein thrombosis
CFH,0.0607,thrombophilia
PKM,0.06065,deep vein thrombosis
ASB16,0.06024,deep vein thrombosis
PLXND1,0.05989,thrombophilia
ACTMAP,0.05986,venous thromboembolism
KCTD1,0.05986,thrombophilia
CHRM4,0.05968,deep vein thrombosis
ADD2,0.05957,thrombophilia
EIF3F,0.05953,thrombophilia
MAPKAPK5,0.0595,deep vein thrombosis
SFMBT2,0.05916,thrombophilia
FBLN1,0.05915,thrombophilia
INS,0.05882,deep vein thrombosis
PF4V1,0.05862,thrombophilia
GPR65,0.05849,thrombophilia
ACKR3,0.05844,thrombophilia
CAVIN1,0.05838,deep vein thrombosis
OR4B1,0.05832,pulmonary embolism
RBPMS,0.05826,thrombophilia
NT5DC3,0.0582,venous thromboembolism
ACTR10,0.05805,venous thromboembolism
AGT,0.05797,thrombophilia
SYK,0.05795,thrombophilia
GBA1,0.05793,thrombophilia
RIPK3,0.05782,deep vein thrombosis
AGGF1,0.0578,thrombophilia
FOXP1,0.05776,thrombophilia
APLNR,0.05763,deep vein thrombosis
RELB,0.05761,thrombophilia
SEPTIN7,0.05749,thrombophilia
FECH,0.05743,thrombophilia
ENSG00000293563,0.05737,thrombophilia
ABCB4,0.05688,thrombophilia
PSMB7,0.05671,deep vein thrombosis
CD40LG,0.0567,thrombophilia
TULP4,0.05658,thrombophilia
TNPO1,0.05657,venous thromboembolism
THEM4,0.05652,deep vein thrombosis
SLC25A30,0.05646,thrombophilia
TAS2R4,0.05645,venous thromboembolism
SPTB,0.05644,thrombophilia
UMOD,0.05631,thrombophilia
PSG3,0.0563,venous thromboembolism
PSEN2,0.05624,thrombophilia
C1GALT1,0.05621,thrombophilia
CBFB,0.05601,thrombophilia
FEN1,0.05593,venous thromboembolism
HNF1A,0.05588,thrombophilia
ACE,0.05573,thrombophilia
MDK,0.05548,venous thromboembolism
MEG8,0.05544,deep vein thrombosis
KDR,0.05544,thrombotic disease
FLT1,0.05544,thrombotic disease
FLT3,0.05544,thrombotic disease
KIT,0.05544,thrombotic disease
RAF1,0.05544,thrombotic disease
BRAF,0.05544,thrombotic disease
FLT4,0.05544,thrombotic disease
TOP1,0.05544,thrombotic disease
RET,0.05544,thrombotic disease
MERTK,0.05523,thrombophilia
ADGRA2,0.05522,thrombophilia
PRKAB1,0.05521,thrombophilia
RSPO2,0.05507,thrombophilia
PITX2,0.05487,thrombophilia
CYBB,0.05485,thrombophilia
OR5AK2,0.05482,thrombophilia
ZNF880,0.05477,thrombophilia
PERP,0.05472,thrombophilia
CXCL8,0.05468,deep vein thrombosis
HP,0.05462,venous thromboembolism
CA5A,0.05447,pulmonary embolism
DLL1,0.05446,thrombophilia
SERPINB10,0.05439,venous thromboembolism
TAS1R2,0.05428,thrombophilia
EDEM2,0.05419,venous thromboembolism
ZSCAN10,0.05385,thrombophilia
ZNF503,0.05374,thrombophilia
NT5E,0.05369,thrombophilia
GRIP1,0.05341,thrombophilia
LIF,0.05337,thrombophilia
TREX1,0.05331,thrombophilia
ZAR1,0.05319,thrombophilia
CLEC1B,0.05314,thrombophilia
PROZ,0.05314,thrombophilia
NFE2L2,0.05311,thrombophilia
AGTR1,0.05303,thrombophilia
ADM,0.05302,thrombophilia
NORAD,0.05285,deep vein thrombosis
ARHGAP31,0.05284,thrombophilia
ATP7A,0.05283,thrombophilia
NPPB,0.0528,pulmonary embolism
TGFBR1,0.05258,thrombophilia
SMARCA4,0.0525,thrombophilia
ANKRD16,0.05238,deep vein thrombosis
IL1RL2,0.05235,venous thromboembolism
ANKRD46,0.05228,deep vein thrombosis
VCAM1,0.05208,deep vein thrombosis
NLRP2,0.05206,venous thromboembolism
GSN,0.05203,thrombophilia
HOXA5,0.05198,thrombophilia
RXRA,0.05193,thrombophilia
CBS,0.05182,thrombophilia
SGPL1,0.05177,thrombophilia
TMEM131,0.05177,thrombophilia
RAVER2,0.05174,deep vein thrombosis
PACSIN2,0.05173,thrombophilia
ERG,0.05173,thrombophilia
BBS12,0.0517,deep vein thrombosis
MRTFB,0.05166,thrombophilia
TNKS,0.05166,venous thromboembolism
NPHS2,0.05165,thrombophilia
GRIN1,0.05161,thrombophilia
MMRN1,0.05147,thrombophilia
COMMD9,0.05142,thrombophilia
SLC10A4,0.05134,thrombophilia
GATA5,0.05126,thrombophilia
TLR4,0.05121,deep vein thrombosis
IL10,0.05116,deep vein thrombosis
DLL4,0.05115,thrombophilia
SSR2,0.05114,thrombophilia
SF3B1,0.05112,deep vein thrombosis
MS4A4E,0.05109,deep vein thrombosis
ABCC2,0.05104,thrombophilia
HMGB1,0.05103,deep vein thrombosis
MAN2A1,0.05073,thrombophilia
ABCA3,0.05069,thrombophilia
VAV3,0.05067,thrombophilia
MYO1E,0.05065,thrombophilia
CDH5,0.0506,thrombophilia
WNK1,0.05054,thrombophilia
TMSB4Y,0.05037,thrombophilia
TMSB4X,0.05037,thrombophilia
THBS1,0.05034,thrombophilia
CD14,0.05032,deep vein thrombosis
MOCS2,0.0503,thrombophilia
REN,0.05024,thrombophilia
RASA3,0.05023,thrombophilia
ACLY,0.05022,deep vein thrombosis
HOPX,0.05019,thrombophilia
NPPA,0.05015,thrombophilia
CTSA,0.05014,thrombophilia
TTC21A,0.05012,venous thromboembolism
TP53BP2,0.04984,thrombophilia
SRR,0.04979,deep vein thrombosis
CPNE1,0.04975,venous thromboembolism
L3MBTL1,0.04968,thrombophilia
ABCG5,0.04958,thrombophilia
OR8H2,0.04957,pulmonary embolism
SLC4A4,0.04947,thrombophilia
NPR1,0.0493,thrombophilia
GIPC3,0.04895,thrombophilia
UBE2E1,0.04893,deep vein thrombosis
HIPK3,0.04888,thrombophilia
PSEN1,0.04886,thrombophilia
TUG1,0.04886,deep vein thrombosis
TPO,0.04884,deep vein thrombosis
KEAP1,0.04882,deep vein thrombosis
CDK2AP1,0.04878,venous thromboembolism
C9orf72,0.04871,thrombophilia
TNIP1,0.04862,thrombophilia
PIK3C2A,0.04861,thrombophilia
MMUT,0.04848,thrombophilia
E2F5,0.04843,thrombophilia
DCAF4L1,0.04838,thrombophilia
SOD1,0.04832,deep vein thrombosis
MND1,0.04828,thrombophilia
HECTD1,0.04828,thrombophilia
LPAR4,0.04827,thrombophilia
GRN,0.04825,thrombophilia
PRKAG1,0.0482,thrombophilia
MOCOS,0.04814,thrombophilia
PDGFB,0.04803,thrombophilia
RNF175,0.04802,venous thromboembolism
FGF2,0.04801,deep vein thrombosis
TIPARP,0.04795,thrombophilia
SLC2A9,0.04794,thrombophilia
CLCNKB,0.04784,thrombophilia
CLCNKA,0.04784,thrombophilia
ESD,0.04781,thrombophilia
ANKRD17,0.0478,thrombophilia
GUSB,0.04773,pulmonary embolism
CALR,0.04769,deep vein thrombosis
SPNS2,0.04766,thrombophilia
ASL,0.04766,thrombophilia
MLKL,0.04763,deep vein thrombosis
MMP13,0.04756,deep vein thrombosis
PTTG1,0.04746,deep vein thrombosis
NR1H4,0.04731,deep vein thrombosis
EDN1,0.0472,deep vein thrombosis
ABCG8,0.0472,thrombophilia
MYH10,0.04716,thrombophilia
CCDC134,0.0471,thrombophilia
FAS,0.04705,thrombophilia
RPGRIP1L,0.047,thrombophilia
CHD9NB,0.04698,venous thromboembolism
ATP8B1,0.04696,thrombophilia
FERRY3,0.04692,thrombophilia
UOX,0.04684,thrombophilia
TMEM127,0.04677,thrombophilia
MPV17,0.04676,thrombophilia
ATP11A,0.04675,thrombophilia
GUCA2B,0.04674,thrombophilia
LCAT,0.04673,thrombophilia
ATP13A3,0.04669,thrombophilia
MPC2,0.04661,venous thromboembolism
TXNL4B,0.04646,venous thromboembolism
MLX,0.04645,deep vein thrombosis
TMEM171,0.04645,venous thromboembolism
PRKAG2,0.04613,thrombophilia
LTBP1,0.04608,thrombophilia
ABLIM3,0.04601,thrombophilia
CXCR2,0.046,thrombophilia
NTF3,0.04595,thrombophilia
GZF1,0.04588,venous thromboembolism
KCNN4,0.04583,thrombophilia
CCL20,0.04583,deep vein thrombosis
MUC4,0.04583,deep vein thrombosis
CD44,0.0458,thrombophilia
CYP3A4,0.04579,venous thromboembolism
IGKV1D-22,0.04577,deep vein thrombosis
JAM3,0.04577,thrombophilia
MATR3,0.04567,thrombophilia
TCHHL1,0.04559,deep vein thrombosis
NR3C2,0.04553,thrombophilia
ZFP36L2,0.04551,thrombophilia
SHC1,0.04548,thrombophilia
STEAP3,0.04547,thrombophilia
FBXW7,0.04543,thrombophilia
LYZ,0.04538,thrombophilia
PDPN,0.04537,thrombophilia
CHTOP,0.04528,thrombophilia
CD59,0.04528,thrombophilia
TTC7A,0.04517,thrombophilia
PSD4,0.04514,venous thromboembolism
PFKM,0.04508,thrombophilia
CNGA1,0.04501,thrombophilia
KRTAP19-8,0.04494,thrombophilia
ITGA2B,0.04493,deep vein thrombosis
DRC1,0.04488,thrombophilia
SLC3A1,0.04474,thrombophilia
CFAP54,0.04474,thrombophilia
SBNO1,0.04471,venous thromboembolism
MPZL1,0.04466,venous thromboembolism
SLC29A3,0.04462,thrombophilia
TPI1,0.0446,thrombophilia
NPHP3,0.04458,thrombophilia
NPHP3-ACAD11,0.04458,thrombophilia
OR9Q2,0.04458,venous thromboembolism
CORO1C,0.04457,thrombophilia
FBXO42,0.04449,thrombophilia
WASF2,0.04441,thrombophilia
GRTP1,0.04422,thrombophilia
STK39,0.04421,thrombophilia
PSPH,0.04419,thrombophilia
BCL2,0.04417,thrombophilia
GPD2,0.04413,thrombophilia
AGPAT1,0.04411,thrombophilia
GPR183,0.04407,deep vein thrombosis
LINGO4,0.04402,deep vein thrombosis
BLOC1S6,0.044,thrombophilia
MYH9,0.04399,thrombophilia
ITCH,0.04399,thrombophilia
PAX6,0.04397,thrombophilia
CFAP53,0.04397,thrombophilia
GATM,0.04384,thrombophilia
THSD4,0.04382,thrombophilia
ZFYVE26,0.04372,deep vein thrombosis
EPB41,0.04369,thrombophilia
KRTAP3-3,0.04356,thrombophilia
LMNA,0.04355,thrombophilia
OARD1,0.04347,deep vein thrombosis
BMP4,0.04343,thrombophilia
ALPL,0.04341,thrombophilia
CLCN5,0.04335,thrombophilia
LIN7C,0.04329,thrombophilia
GPR52,0.0432,venous thromboembolism
TP53,0.04319,thrombophilia
FGFR2,0.04318,thrombophilia
BLTP1,0.04318,deep vein thrombosis
MPL,0.04316,deep vein thrombosis
ATXN2,0.04309,deep vein thrombosis
APOA2,0.04303,venous thromboembolism
MAGI2,0.0429,thrombophilia
NMNAT3,0.04288,thrombophilia
DOCK2,0.04285,thrombophilia
COG6,0.04279,thrombophilia
PTGIS,0.04278,thrombophilia
CCNI,0.04275,thrombophilia
LEFTY1,0.04272,thrombophilia
LEFTY2,0.04272,thrombophilia
VAV2,0.04266,thrombophilia
GPI,0.04261,thrombophilia
HM13,0.04256,thrombophilia
C1orf105,0.04254,venous thromboembolism
TSPAN12,0.04253,thrombophilia
NDUFS3,0.0425,deep vein thrombosis
MYCT1,0.04243,thrombophilia
TFAP2B,0.0424,thrombophilia
OR8J1,0.0424,venous thromboembolism
ADIPOQ,0.04239,deep vein thrombosis
CLPP,0.04239,thrombophilia
ADORA3,0.04234,thrombophilia
CYGB,0.04226,deep vein thrombosis
ELMOD1,0.04223,thrombophilia
PDE5A,0.04222,pulmonary embolism
SLC4A5,0.04222,thrombophilia
SLC14A2,0.04219,thrombophilia
STUB1,0.04217,pulmonary embolism
SLC6A6,0.04216,thrombophilia
PEX16,0.04209,thrombophilia
CAMSAP3,0.04208,thrombophilia
KCNJ1,0.04205,thrombophilia
MVD,0.04205,venous thromboembolism
GLIS2,0.04195,thrombophilia
XIST,0.04189,deep vein thrombosis
LEMD2,0.04188,deep vein thrombosis
WHAMM,0.04182,thrombophilia
ADIPOR1,0.04181,thrombophilia
NDUFS2,0.04175,venous thromboembolism
MOB4,0.04174,deep vein thrombosis
RALB,0.04172,deep vein thrombosis
SLC28A1,0.04167,thrombophilia
PILRB,0.04166,thrombophilia
PILRA,0.04166,thrombophilia
PLOD3,0.04165,thrombophilia
RAB18,0.04155,venous thromboembolism
NCKAP1L,0.04145,thrombophilia
CRHR1,0.04143,venous thromboembolism
ZC3H7B,0.04137,deep vein thrombosis
SCARF1,0.04137,thrombophilia
DHX35,0.04132,thrombophilia
NTRK3,0.04128,thrombophilia
MAS1,0.04124,thrombophilia
CLK1,0.04124,thrombophilia
NFYA,0.04117,deep vein thrombosis
CAV1,0.04114,thrombophilia
ABCG2,0.04107,thrombophilia
HEY2,0.04103,thrombophilia
EDA,0.04096,thrombophilia
UROS,0.04095,thrombophilia
LEPROTL1,0.04086,pulmonary embolism
LYN,0.04086,thrombophilia
SLC7A9,0.04084,thrombophilia
ARPC1B,0.04082,thrombophilia
SERPINB7,0.04077,venous thromboembolism
NSUN5P2,0.04066,thrombophilia
NSUN5,0.04066,thrombophilia
IL27RA,0.04065,thrombophilia
SPATC1,0.04063,venous thromboembolism
LAMTOR2,0.04062,deep vein thrombosis
PEX2,0.04061,thrombophilia
PPP4R4,0.04059,pulmonary embolism
SCARB2,0.04056,thrombophilia
TLR9,0.04056,deep vein thrombosis
HOXA3,0.04054,thrombophilia
PDGFC,0.04051,thrombophilia
OR6Q1,0.04046,deep vein thrombosis
NNMT,0.04045,venous thromboembolism
CRIM1,0.04037,thrombophilia
CLDN2,0.04028,thrombophilia
TGFB1,0.04026,deep vein thrombosis
PCMT1,0.04022,thrombophilia
OR5AS1,0.04021,venous thromboembolism
FGF10,0.0402,thrombophilia
MS4A4A,0.04018,venous thromboembolism
SMAD6,0.04011,thrombophilia
SLC45A1,0.04011,deep vein thrombosis
ULK4,0.04008,thrombophilia
TNFRSF21,0.04007,thrombophilia
MCPH1,0.04006,thrombophilia
PRPH2,0.04006,thrombophilia
PSAP,0.04002,thrombophilia
LCA5L,0.03988,thrombophilia
ACTR1B,0.03988,thrombophilia
LMOD3,0.03987,thrombophilia
CREBBP,0.03985,thrombophilia
PKD1,0.03982,thrombophilia
LEKR1,0.03981,venous thromboembolism
IREB2,0.0398,thrombophilia
LANCL1,0.03971,thrombophilia
C18orf54,0.03966,deep vein thrombosis
KEL,0.03961,thrombophilia
KLF3,0.0396,thrombophilia
BIRC6,0.03957,thrombophilia
HCFC2,0.03949,thrombophilia
PCNT,0.03944,thrombophilia
ANGPTL4,0.03941,thrombophilia
AHSP,0.03938,thrombophilia
CERCAM,0.03932,thrombophilia
CLDN4,0.03931,thrombophilia
OR5F1,0.03929,venous thromboembolism
CD151,0.03922,thrombophilia
ZPBP2,0.03918,deep vein thrombosis
CDC5L,0.03913,deep vein thrombosis
SERPINB2,0.03911,venous thromboembolism
ADAMTS4,0.0391,deep vein thrombosis
PLEKHG5,0.03899,thrombophilia
ATXN2L,0.03891,venous thromboembolism
UBE4B,0.03889,thrombophilia
PFDN4,0.03888,deep vein thrombosis
OR8K1,0.03873,venous thromboembolism
ANGPT2,0.0386,deep vein thrombosis
TULP1,0.03859,thrombophilia
TXNIP,0.03851,deep vein thrombosis
GNE,0.0385,thrombophilia
CCDC172,0.0385,thrombophilia
SLC6A18,0.03844,thrombophilia
STARD6,0.03839,deep vein thrombosis
DDX6,0.03838,deep vein thrombosis
NTF4,0.03832,thrombophilia
CD4,0.03832,thrombophilia
TPD52,0.03814,deep vein thrombosis
OR5T2,0.03814,venous thromboembolism
SERAC1,0.03806,thrombophilia
LZTR1,0.038,thrombophilia
PPARG,0.03775,deep vein thrombosis
TCHH,0.03769,deep vein thrombosis
DUOXA2,0.0375,thrombophilia
PDC,0.03748,thrombophilia
ADAMTS5,0.03744,thrombophilia
ODF2,0.03743,thrombophilia
ENSG00000292259,0.03726,deep vein thrombosis
OR5D14,0.03725,pulmonary embolism
PKD2,0.03724,thrombophilia
ITGB3,0.03723,thrombophilia
TLR10,0.03715,deep vein thrombosis
FRAS1,0.03714,thrombophilia
PRKACB,0.03699,thrombophilia
IFNAR2,0.03696,thrombotic disease
IFNAR1,0.03696,thrombotic disease
BACE1,0.03696,thrombotic disease
IL5,0.03694,deep vein thrombosis
NACC1,0.03675,venous thromboembolism
SMG9,0.03671,thrombophilia
PPIF,0.03654,venous thromboembolism
IQCH,0.03648,deep vein thrombosis
CCDC39,0.03648,thrombophilia
PDK2,0.0364,deep vein thrombosis
IL1R2,0.03639,venous thromboembolism
MAPK10,0.03639,venous thromboembolism
MMP3,0.03611,deep vein thrombosis
LYPLA2P1,0.0361,deep vein thrombosis
MSL2,0.03606,venous thromboembolism
CIB2,0.03601,thrombophilia
PPARA,0.03588,thrombophilia
NKX2-5,0.03587,thrombophilia
LDHA,0.03586,thrombophilia
SOX17,0.03582,thrombophilia
SPP1,0.03576,thrombophilia
TAX1BP1,0.03575,venous thromboembolism
TACR2,0.03574,venous thromboembolism
PTX3,0.03572,deep vein thrombosis
RB1CC1,0.03564,thrombophilia
UNC5CL,0.03557,deep vein thrombosis
LPIN2,0.03552,thrombophilia
CSF3,0.03539,deep vein thrombosis
JUN,0.03538,thrombophilia
GLP1R,0.03537,deep vein thrombosis
MKX,0.03532,venous thromboembolism
IGSF5,0.03531,thrombophilia
BCL2L11,0.03525,thrombophilia
NMNAT1,0.03521,thrombophilia
IL17A,0.03519,deep vein thrombosis
CLDN12,0.03518,thrombophilia
MGP,0.03515,thrombophilia
SMC5,0.03512,thrombophilia
CTSL,0.03511,thrombophilia
PRF1,0.03509,thrombophilia
MBD2,0.03502,deep vein thrombosis
KNSTRN,0.03501,thrombophilia
EXOC6,0.03499,thrombophilia
GYS1,0.03498,thrombophilia
USP53,0.03495,thrombophilia
ACBD4,0.03493,deep vein thrombosis
LTBP4,0.03486,thrombophilia
APOA1,0.03483,deep vein thrombosis
APRT,0.03481,thrombophilia
RPL5,0.03474,deep vein thrombosis
DNMT3A,0.03464,deep vein thrombosis
PROM1,0.0346,thrombophilia
SPEG,0.03459,thrombophilia
FNIP1,0.03446,venous thromboembolism
METTL6,0.03443,thrombophilia
SIK3,0.03439,thrombophilia
MRPS14,0.03435,venous thromboembolism
BOLL,0.03431,venous thromboembolism
PTH1R,0.03428,thrombophilia
HADHA,0.03426,thrombophilia
EPG5,0.03425,thrombophilia
TRIM8,0.03423,deep vein thrombosis
ELP3,0.03422,venous thromboembolism
HYAL2,0.03421,thrombophilia
SCUBE3,0.0341,thrombophilia
GDF15,0.03408,deep vein thrombosis
TOMM40L,0.03405,venous thromboembolism
COP1,0.03403,venous thromboembolism
ADAM19,0.03402,thrombophilia
RAB3GAP2,0.03402,thrombophilia
CLCN1,0.03401,thrombophilia
ETV6,0.03399,thrombophilia
SH3TC1,0.03391,thrombophilia
ODAD3,0.03386,thrombophilia
MFSD1,0.03385,thrombophilia
ARHGEF2,0.0338,thrombophilia
CNGB3,0.03371,thrombophilia
ESR2,0.03371,thrombophilia
FNDC4,0.0337,venous thromboembolism
UNC93B1,0.03368,thrombophilia
PEMT,0.03368,deep vein thrombosis
STIM1,0.03357,thrombophilia
LAT,0.03354,thrombophilia
DPP4,0.03354,venous thromboembolism
ACTR1A,0.03353,deep vein thrombosis
TRIM64C,0.03352,venous thromboembolism
OR8H3,0.03352,venous thromboembolism
HTR3A,0.03351,thrombophilia
MGAT2,0.03349,thrombophilia
ATP2A1,0.03348,venous thromboembolism
POU3F3,0.03344,thrombophilia
SRSF6,0.0334,thrombophilia
TNFRSF6B,0.0334,deep vein thrombosis
COX5B,0.03333,thrombophilia
ENTPD1,0.03331,thrombophilia
WNT3A,0.03326,deep vein thrombosis
LRRFIP1,0.03324,deep vein thrombosis
NFIC,0.03324,thrombophilia
DRD5,0.03323,thrombophilia
ASXL1,0.03323,deep vein thrombosis
SLCO2A1,0.03323,thrombophilia
MANBA,0.03323,thrombophilia
CYP4F11,0.03312,thrombophilia
CYP4F12,0.03312,thrombophilia
CYP4A22,0.03312,thrombophilia
CYP4A11,0.03312,thrombophilia
FMO1,0.03311,thrombophilia
SNX27,0.0331,deep vein thrombosis
CREB5,0.03309,venous thromboembolism
FOXO3,0.03304,thrombophilia
SOD2,0.03303,thrombophilia
CD2AP,0.03303,thrombophilia
ARID1A,0.03302,venous thromboembolism
MUS81,0.03301,thrombophilia
CYP7A1,0.033,thrombophilia
APOBEC2,0.03298,deep vein thrombosis
PIGK,0.03297,venous thromboembolism
SUSD6,0.03297,thrombophilia
GPR146,0.03289,thrombophilia
PPP2R5C,0.03282,thrombophilia
NPRL3,0.0328,thrombophilia
DNM1L,0.03277,thrombophilia
DPH6,0.03273,thrombophilia
RPGR,0.03267,thrombophilia
BBS4,0.03267,thrombophilia
SMAD9,0.03266,thrombophilia
FOXC1,0.03266,thrombophilia
USP38,0.0326,thrombophilia
BDKRB2,0.03257,thrombophilia
BMAL1,0.03257,thrombophilia
ANXA3,0.03252,deep vein thrombosis
UPK3A,0.03252,thrombophilia
MIA,0.03251,venous thromboembolism
RFPL3,0.0325,venous thromboembolism
CD36,0.03249,thrombophilia
CYP19A1,0.03244,thrombophilia
RTP5,0.03243,deep vein thrombosis
FARP2,0.03241,venous thromboembolism
ANKH,0.0324,deep vein thrombosis
MEIOSIN,0.03238,venous thromboembolism
